model,task,condition,plan_valid,alignment,score,executable,collapse,error,run
codellama-7b,palindrome,hierarchical,False,0.7469,1.0,True,False,,9
codellama-7b,palindrome,oracle,False,0.7488,1.0,True,False,,9
codellama-7b,reverse,direct,False,0.0,1.0,True,False,,9
codellama-7b,reverse,hierarchical,True,0.8238,1.0,True,False,,9
codellama-7b,reverse,oracle,True,0.8391,0.3333,True,False,,9
codellama-7b,is_even,direct,False,0.0,1.0,True,False,,9
codellama-7b,is_even,hierarchical,False,0.547,1.0,True,False,,9
codellama-7b,is_even,oracle,False,0.547,1.0,True,False,,9
codellama-7b,max_two,direct,False,0.0,1.0,True,False,,9
codellama-7b,max_two,hierarchical,False,0.3658,0.6667,True,False,,9
codellama-7b,max_two,oracle,False,0.4884,1.0,True,False,,9
codellama-7b,sum_list,direct,False,0.0,1.0,True,False,,9
codellama-7b,sum_list,hierarchical,True,0.7466,0.0,True,False,,9
codellama-7b,sum_list,oracle,True,0.7321,0.0,True,False,,9
codellama-7b,count_vowels,direct,False,0.0,1.0,True,False,,9
codellama-7b,count_vowels,hierarchical,False,0.4931,1.0,True,False,,9
codellama-7b,count_vowels,oracle,False,0.4931,1.0,True,False,,9
